,0
2030-01-07,0.0
2030-01-14,0.0
2030-01-21,0.0
2030-01-28,0.0
2030-02-04,0.0
2030-02-11,0.0
2030-02-18,0.0
2030-02-25,0.0
2030-03-04,0.0
2030-03-11,0.0
2030-03-18,0.0
2030-03-25,0.0
2030-04-01,0.0
2030-04-08,0.0
2030-04-15,11.381100000000002
2030-04-22,11.381100000000002
2030-04-29,11.381100000000002
2030-05-06,11.381100000000002
2030-05-13,11.381100000000002
2030-05-20,11.381100000000002
2030-05-27,11.381100000000002
2030-06-03,11.381100000000002
2030-06-10,11.381100000000002
2030-06-17,11.381100000000002
2030-06-24,11.381100000000002
2030-07-01,11.381100000000002
2030-07-08,11.381100000000002
2030-07-15,11.381100000000002
2030-07-22,11.381100000000002
2030-07-29,11.381100000000002
2030-08-05,11.381100000000002
2030-08-12,11.381100000000002
2030-08-19,11.381100000000002
2030-08-26,11.381100000000002
2030-09-02,11.381100000000002
2030-09-09,10.3899
2030-09-16,10.3899
2030-09-23,0.0
2030-09-30,0.0
2030-10-07,0.0
2030-10-14,0.0
2030-10-21,0.0
2030-10-28,0.0
2030-11-04,0.0
2030-11-11,0.0
2030-11-18,0.0
2030-11-25,0.0
2030-12-02,0.0
2030-12-09,0.0
2030-12-16,0.0
2030-12-23,0.0
2030-12-30,0.0
