,0
2030-01-07,2476.0797000000007
2030-01-14,2476.0797000000007
2030-01-21,2476.0797000000007
2030-01-28,2476.0797000000007
2030-02-04,2476.0797000000007
2030-02-11,2476.0797000000007
2030-02-18,2476.0797000000007
2030-02-25,2476.0797000000007
2030-03-04,2476.0797000000007
2030-03-11,2476.0797000000007
2030-03-18,2476.0797000000007
2030-03-25,2476.0797000000007
2030-04-01,2476.0797000000007
2030-04-08,2476.0797000000007
2030-04-15,2476.0797000000007
2030-04-22,2476.0797000000007
2030-04-29,2476.0797000000007
2030-05-06,2476.0797000000007
2030-05-13,2476.0797000000007
2030-05-20,2476.0797000000007
2030-05-27,2476.0797000000007
2030-06-03,2476.0797000000007
2030-06-10,2476.0797000000007
2030-06-17,2476.0797000000007
2030-06-24,2476.0797000000007
2030-07-01,2476.0797000000007
2030-07-08,2476.0797000000007
2030-07-15,2476.0797000000007
2030-07-22,2476.0797000000007
2030-07-29,2476.0797000000007
2030-08-05,2476.0797000000007
2030-08-12,2476.0797000000007
2030-08-19,2476.0797000000007
2030-08-26,2476.0797000000007
2030-09-02,2476.0797000000007
2030-09-09,2476.0797000000007
2030-09-16,2476.0797000000007
2030-09-23,2476.0797000000007
2030-09-30,2476.0797000000007
2030-10-07,2476.0797000000007
2030-10-14,2476.0797000000007
2030-10-21,2476.0797000000007
2030-10-28,2476.0797000000007
2030-11-04,2476.0797000000007
2030-11-11,2476.0797000000007
2030-11-18,2476.0797000000007
2030-11-25,2476.0797000000007
2030-12-02,2476.0797000000007
2030-12-09,2476.0797000000007
2030-12-16,2476.0797000000007
2030-12-23,2476.0797000000007
2030-12-30,2476.0797000000007
